EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5.608,0.044,5.217,4.129,4.711,7.349,6.244,13.081,-0.133,0.986,0.053,1.038,-1.831,2.136,60.000,62425.000,1.000
6.723,-0.443,4.635,2.700,2.771,5.520,3.569,9.184,-0.134,0.983,0.058,1.312,-2.228,1.923,60.000,62426.000,1.000
8.296,-0.564,4.848,2.461,1.298,4.606,1.547,6.584,-0.136,0.983,0.058,1.740,-2.594,1.465,60.000,62427.000,1.000
10.301,0.116,5.913,3.368,0.975,4.964,0.936,5.784,-0.135,0.986,0.058,2.106,-2.930,1.099,60.000,62428.000,1.000
12.613,1.626,7.246,4.418,2.073,6.234,1.893,6.025,-0.132,0.990,0.058,2.625,-3.265,0.732,60.000,62429.000,1.000
14.946,3.783,8.410,4.921,4.215,7.952,4.007,6.454,-0.132,0.992,0.057,2.869,-3.448,0.580,60.000,62430.000,1.000
16.898,6.391,9.535,5.169,6.627,9.976,6.558,6.908,-0.129,1.000,0.057,3.113,-3.876,0.122,60.000,62431.000,1.000
18.135,9.144,10.778,5.683,8.611,12.212,8.828,7.388,-0.126,1.004,0.057,3.296,-4.150,-0.122,60.000,62432.000,1.000
18.539,11.483,11.696,6.225,9.839,14.206,10.336,7.371,-0.122,1.006,0.054,3.784,-4.333,-0.336,60.000,62433.000,1.000
18.210,12.835,11.618,6.057,10.399,15.437,11.001,6.279,-0.120,1.006,0.054,3.754,-4.425,-0.580,60.000,62434.000,1.000
17.424,13.087,10.607,5.105,10.611,15.964,11.152,4.501,-0.117,1.003,0.050,4.028,-4.456,-0.793,60.000,62435.000,1.000
16.566,12.686,9.623,4.356,10.785,16.405,11.325,3.408,-0.116,0.999,0.050,4.181,-4.547,-0.977,60.000,62436.000,1.000
15.950,12.153,9.469,4.732,11.071,17.132,11.932,4.071,-0.114,0.993,0.049,4.700,-4.456,-1.129,60.000,62437.000,1.000
15.600,11.534,9.759,5.766,11.376,17.659,12.948,6.030,-0.113,0.990,0.049,5.219,-4.486,-1.221,60.000,62438.000,1.000
15.219,10.450,9.263,5.916,11.345,17.041,13.778,7.577,-0.111,0.987,0.050,5.707,-4.456,-1.404,60.000,62439.000,1.000
14.456,8.751,7.261,4.263,10.564,14.932,13.552,7.356,-0.110,0.985,0.050,6.073,-4.425,-1.465,60.000,62440.000,1.000
13.290,6.956,4.315,1.549,8.988,12.124,11.868,5.563,-0.110,0.989,0.052,6.439,-4.242,-1.556,60.000,62441.000,1.000
12.131,5.864,1.592,-0.711,7.146,9.890,9.274,3.482,-0.111,0.989,0.051,6.683,-4.150,-1.709,60.000,62442.000,1.000
11.390,5.737,-0.372,-1.855,5.762,8.840,6.848,2.056,-0.111,0.990,0.051,7.141,-4.059,-1.862,60.000,62443.000,1.000
11.020,6.105,-1.900,-2.451,5.166,8.639,5.408,1.261,-0.113,0.990,0.047,7.477,-4.028,-1.953,60.000,62444.000,1.000
10.670,6.412,-3.224,-3.160,5.159,8.759,5.155,0.781,-0.116,0.990,0.050,7.721,-3.937,-2.045,60.000,62445.000,1.000
10.261,6.627,-3.783,-3.749,5.420,9.127,5.845,0.680,-0.121,0.991,0.049,8.057,-3.967,-2.075,60.000,62446.000,1.000
10.243,7.092,-2.824,-3.501,5.916,9.875,7.092,1.109,-0.122,0.989,0.045,8.118,-4.059,-2.136,60.000,62447.000,1.000
11.208,7.928,-0.508,-2.309,6.821,10.709,8.513,1.702,-0.125,0.984,0.041,8.514,-4.028,-2.380,60.000,62448.000,1.000
13.376,8.828,2.095,-0.783,8.132,10.927,9.740,1.785,-0.127,0.983,0.041,8.789,-4.089,-2.472,60.000,62449.000,1.000
16.521,9.562,4.258,0.805,9.551,10.232,10.502,1.289,-0.128,0.981,0.038,8.972,-4.242,-2.625,60.000,62450.000,1.000
20.300,10.451,6.409,3.081,10.770,9.222,10.831,1.079,-0.128,0.980,0.038,9.186,-4.333,-2.686,60.000,62451.000,1.000
24.354,11.965,9.292,6.551,11.693,8.764,11.067,1.989,-0.126,0.980,0.037,9.613,-4.456,-2.808,60.000,62452.000,1.000
27.988,13.814,12.534,10.316,12.266,8.980,11.487,3.684,-0.126,0.979,0.032,9.949,-4.486,-2.899,60.000,62453.000,1.000
30.003,14.763,14.513,12.367,12.122,9.086,11.846,4.750,-0.125,0.980,0.029,10.071,-4.608,-3.021,60.000,62454.000,1.000
29.187,13.488,13.703,11.289,10.542,8.104,11.342,3.927,-0.123,0.982,0.028,10.223,-4.639,-3.021,60.000,62455.000,1.000
25.255,9.713,10.065,7.519,7.093,5.698,9.296,1.217,-0.121,0.985,0.021,10.620,-4.578,-2.991,60.000,62456.000,1.000
19.430,4.569,5.106,2.894,2.424,2.415,6.007,-2.175,-0.122,0.985,0.020,10.803,-4.486,-2.808,60.000,62457.000,1.000
13.902,-0.176,0.678,-0.889,-1.863,-0.792,2.721,-4.942,-0.121,0.986,0.019,10.986,-4.517,-2.777,60.000,62458.000,1.000
10.493,-3.185,-2.133,-3.180,-4.326,-3.118,0.680,-6.531,-0.122,0.986,0.018,11.017,-4.395,-2.747,60.000,62459.000,1.000
9.586,-4.084,-3.132,-4.004,-4.731,-4.101,0.270,-7.022,-0.123,0.987,0.017,11.078,-4.395,-2.716,60.000,62460.000,1.000
10.134,-3.436,-2.627,-3.528,-4.072,-3.777,0.933,-6.742,-0.125,0.988,0.015,11.200,-4.272,-2.472,60.000,62461.000,1.000
10.732,-2.301,-1.216,-2.159,-3.564,-2.790,1.747,-6.217,-0.127,0.986,0.015,11.169,-4.242,-2.380,60.000,62462.000,1.000
10.831,-1.549,0.376,-0.657,-3.572,-1.991,2.173,-6.070,-0.130,0.984,0.015,11.261,-4.303,-2.228,60.000,62463.000,1.000
10.889,-1.394,1.669,0.302,-3.568,-1.778,2.315,-6.532,-0.131,0.984,0.014,11.322,-4.425,-2.136,60.000,62464.000,1.000
11.462,-1.466,2.734,0.722,-3.023,-1.835,2.538,-7.116,-0.132,0.983,0.011,11.414,-4.456,-2.075,60.000,62465.000,1.000
12.476,-1.211,3.976,1.216,-2.040,-1.512,2.997,-6.985,-0.134,0.982,0.010,11.322,-4.578,-2.075,60.000,62466.000,1.000
