EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4.143,5.954,3.780,4.339,4.452,7.367,4.992,3.597,-0.083,1.000,-0.012,0.977,2.563,-0.977,80.000,8433.000,1.000
5.960,6.632,5.278,5.500,5.702,7.941,6.112,4.475,-0.084,1.001,-0.013,0.946,2.563,-1.038,80.000,8434.000,1.000
7.705,8.630,7.212,7.303,7.058,9.044,8.161,6.761,-0.084,1.000,-0.012,0.946,2.594,-1.038,80.000,8435.000,1.000
9.036,11.022,9.259,9.186,8.188,9.957,9.925,9.178,-0.086,1.000,-0.015,0.854,2.594,-1.007,80.000,8436.000,1.000
9.648,12.119,10.989,10.232,8.931,9.896,10.274,10.222,-0.086,0.999,-0.014,0.885,2.533,-0.916,80.000,8437.000,1.000
9.420,11.391,11.865,10.133,9.084,8.796,9.251,9.767,-0.086,0.999,-0.012,1.007,2.472,-0.824,80.000,8438.000,1.000
8.307,9.720,11.288,9.307,8.251,7.093,7.692,8.844,-0.084,1.000,-0.012,1.099,2.472,-0.793,80.000,8439.000,1.000
6.309,7.927,9.043,8.177,6.240,5.069,6.109,8.061,-0.085,0.999,-0.014,1.099,2.502,-0.763,80.000,8440.000,1.000
3.755,5.899,5.834,6.771,3.628,2.907,4.513,6.942,-0.088,0.999,-0.011,1.160,2.502,-0.916,80.000,8441.000,1.000
1.441,3.479,3.100,5.117,1.563,1.159,3.045,4.929,-0.089,1.000,-0.012,1.190,2.411,-0.824,80.000,8442.000,1.000
0.204,1.581,2.005,3.673,0.782,0.600,2.166,2.477,-0.089,1.001,-0.012,1.221,2.380,-0.702,80.000,8443.000,1.000
0.298,1.608,2.600,3.064,1.025,1.482,2.098,0.709,-0.090,1.001,-0.010,1.312,2.441,-0.702,80.000,8444.000,1.000
