EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.267,-1.400,-0.654,0.900,1.628,-3.523,0.044,4.774,-0.154,1.000,0.135,2.441,-0.244,-1.434,60.000,18913.000,1.000
5.639,3.907,5.173,4.978,6.616,0.601,3.908,7.913,-0.154,1.001,0.131,2.502,-0.244,-1.709,60.000,18914.000,1.000
10.846,8.031,10.158,7.806,10.578,3.718,6.979,9.695,-0.154,1.000,0.134,2.319,-0.153,-1.801,60.000,18915.000,1.000
14.031,10.280,13.335,9.217,12.237,5.260,8.250,9.882,-0.156,0.997,0.137,2.258,0.061,-1.953,60.000,18916.000,1.000
14.849,10.529,14.193,9.115,11.456,4.985,7.488,8.462,-0.155,0.999,0.135,2.319,0.061,-2.075,60.000,18917.000,1.000
14.098,9.278,12.912,7.547,9.352,3.295,5.563,5.849,-0.156,0.999,0.137,2.289,0.061,-2.075,60.000,18918.000,1.000
12.995,7.483,10.551,5.223,7.432,1.276,3.942,3.184,-0.157,0.999,0.135,2.197,0.183,-2.197,60.000,18919.000,1.000
12.336,6.118,8.637,3.456,6.590,0.177,3.779,1.979,-0.159,0.998,0.137,2.197,0.244,-2.197,60.000,18920.000,1.000
12.252,5.652,8.176,3.197,6.859,0.587,5.301,3.057,-0.157,0.997,0.137,2.136,0.305,-2.289,60.000,18921.000,1.000
12.504,5.856,8.958,4.180,7.807,2.031,7.833,5.789,-0.158,0.997,0.137,2.258,0.427,-2.167,60.000,18922.000,1.000
12.780,6.128,9.841,5.176,8.846,3.351,10.240,8.532,-0.160,0.998,0.139,2.289,0.458,-2.136,60.000,18923.000,1.000
12.762,6.056,9.781,5.224,9.327,3.610,11.479,9.935,-0.161,0.998,0.139,2.228,0.519,-2.136,60.000,18924.000,1.000
12.222,5.787,8.694,4.554,8.872,2.842,11.185,9.918,-0.162,0.997,0.136,2.136,0.519,-2.075,60.000,18925.000,1.000
11.255,5.855,7.311,4.148,7.797,1.881,9.920,9.376,-0.165,0.997,0.137,2.167,0.519,-1.923,60.000,18926.000,1.000
10.343,6.598,6.327,4.521,6.956,1.443,8.671,9.072,-0.167,0.997,0.137,2.136,0.519,-1.892,60.000,18927.000,1.000
10.037,7.808,5.911,5.356,7.056,1.563,8.093,9.125,-0.167,0.996,0.135,2.197,0.519,-1.770,60.000,18928.000,1.000
10.460,8.982,6.018,6.268,8.132,1.957,8.291,9.501,-0.166,0.994,0.137,2.228,0.580,-1.709,60.000,18929.000,1.000
11.065,9.659,6.633,7.305,9.517,2.458,8.967,10.327,-0.166,0.991,0.135,2.258,0.488,-1.709,60.000,18930.000,1.000
10.980,9.482,7.485,8.413,10.277,2.870,9.580,11.399,-0.166,0.991,0.135,2.472,0.458,-1.556,60.000,18931.000,1.000
9.717,8.232,7.838,8.907,9.869,2.774,9.644,11.896,-0.166,0.992,0.134,2.533,0.427,-1.526,60.000,18932.000,1.000
7.556,6.041,6.936,7.993,8.465,1.885,9.057,11.063,-0.166,0.991,0.132,2.655,0.397,-1.495,60.000,18933.000,1.000
5.264,3.592,4.773,5.870,6.771,0.622,8.243,9.225,-0.165,0.989,0.134,2.686,0.366,-1.495,60.000,18934.000,1.000
3.531,2.013,2.331,3.948,5.635,0.139,7.992,7.857,-0.165,0.990,0.134,2.838,0.366,-1.404,60.000,18935.000,1.000
2.609,2.172,0.742,3.489,5.575,1.281,8.807,8.210,-0.163,0.993,0.133,2.930,0.427,-1.190,60.000,18936.000,1.000
2.173,3.815,0.083,4.013,6.302,3.355,10.133,9.777,-0.162,0.995,0.133,3.052,0.458,-1.099,60.000,18937.000,1.000
1.554,5.640,-0.648,3.601,6.777,4.489,10.507,10.506,-0.162,0.996,0.134,3.021,0.519,-1.068,60.000,18938.000,1.000
0.323,6.449,-2.194,0.980,5.995,3.422,8.721,8.767,-0.162,0.997,0.133,3.204,0.580,-0.916,60.000,18939.000,1.000
-1.291,6.076,-4.054,-3.081,3.767,0.589,4.829,4.825,-0.160,0.999,0.135,3.174,0.702,-0.732,60.000,18940.000,1.000
-2.567,5.155,-5.080,-6.662,0.801,-2.612,0.069,0.269,-0.162,0.999,0.134,3.021,0.824,-0.549,60.000,18941.000,1.000
-2.794,4.333,-4.726,-8.514,-1.809,-5.122,-4.002,-3.580,-0.162,1.001,0.133,2.838,0.824,-0.397,60.000,18942.000,1.000
-1.640,3.960,-3.300,-8.608,-3.120,-6.580,-6.263,-6.316,-0.162,1.003,0.131,2.899,0.946,-0.336,60.000,18943.000,1.000
0.779,4.305,-1.164,-7.238,-2.652,-6.782,-6.297,-7.836,-0.162,1.003,0.136,2.747,0.916,-0.092,60.000,18944.000,1.000
3.977,5.601,1.713,-4.418,-0.548,-5.455,-4.378,-7.848,-0.161,1.004,0.137,2.716,1.007,-0.061,60.000,18945.000,1.000
7.290,7.775,5.274,-0.419,2.508,-2.677,-1.288,-6.286,-0.163,1.006,0.136,2.411,0.885,0.000,60.000,18946.000,1.000
10.220,10.361,8.922,3.725,5.765,0.875,2.157,-3.744,-0.165,1.004,0.135,2.167,0.916,0.092,60.000,18947.000,1.000
12.722,12.836,11.922,6.854,8.867,4.370,5.535,-1.040,-0.165,1.004,0.135,1.984,0.885,0.214,60.000,18948.000,1.000
15.080,14.984,14.128,8.774,11.761,7.359,8.693,1.529,-0.166,1.005,0.137,1.709,0.854,0.183,60.000,18949.000,1.000
17.405,16.844,15.987,10.290,14.210,9.763,11.354,4.228,-0.167,1.004,0.135,1.709,0.732,0.153,60.000,18950.000,1.000
19.246,18.316,17.708,11.984,15.639,11.452,13.044,7.133,-0.168,1.005,0.137,1.495,0.610,0.153,60.000,18951.000,1.000
19.825,18.956,18.628,13.192,15.469,11.974,13.308,9.496,-0.168,1.001,0.138,1.312,0.427,0.092,60.000,18952.000,1.000
18.765,18.331,17.784,12.673,13.593,10.908,11.947,10.209,-0.167,0.999,0.134,1.251,0.305,-0.031,60.000,18953.000,1.000
16.522,16.587,15.149,10.264,10.550,8.543,9.229,9.025,-0.166,1.000,0.134,1.160,0.275,0.000,60.000,18954.000,1.000
14.027,14.395,11.910,7.331,7.168,5.858,5.804,6.955,-0.166,0.996,0.131,1.221,0.092,0.000,60.000,18955.000,1.000
11.953,12.298,9.330,5.329,4.036,3.553,2.249,5.159,-0.166,0.995,0.134,1.160,0.000,-0.031,60.000,18956.000,1.000
10.342,10.284,7.564,4.305,1.315,1.367,-1.232,3.708,-0.167,0.995,0.134,1.068,-0.092,0.122,60.000,18957.000,1.000
8.760,8.066,5.755,3.142,-1.013,-1.342,-4.552,1.842,-0.166,0.993,0.134,1.129,-0.183,0.092,60.000,18958.000,1.000
6.712,5.579,3.100,1.051,-2.978,-4.590,-7.443,-0.718,-0.165,0.991,0.132,1.221,-0.122,0.000,60.000,18959.000,1.000
4.043,3.128,-0.351,-1.506,-4.636,-7.608,-9.546,-3.175,-0.165,0.993,0.133,1.251,-0.275,-0.061,60.000,18960.000,1.000
1.206,1.258,-3.741,-3.298,-5.877,-9.433,-10.506,-4.377,-0.162,0.992,0.134,1.282,-0.366,-0.122,60.000,18961.000,1.000
-0.883,0.490,-6.095,-3.507,-6.230,-9.492,-9.992,-3.884,-0.161,0.990,0.133,1.404,-0.366,0.031,60.000,18962.000,1.000
-1.472,0.983,-7.005,-2.336,-5.224,-7.826,-7.971,-2.235,-0.159,0.990,0.133,1.556,-0.427,0.092,60.000,18963.000,1.000
-0.495,2.503,-6.612,-0.395,-2.920,-4.838,-4.890,-0.149,-0.160,0.989,0.130,1.648,-0.336,0.122,60.000,18964.000,1.000
1.535,4.721,-5.127,2.103,0.108,-0.894,-1.344,2.302,-0.159,0.990,0.130,1.831,-0.305,0.122,60.000,18965.000,1.000
3.838,7.216,-2.887,5.003,3.122,3.607,2.227,5.308,-0.162,0.993,0.128,1.953,-0.366,0.153,60.000,18966.000,1.000
5.470,9.111,-0.926,7.272,5.296,7.610,5.138,8.185,-0.162,0.991,0.129,1.953,-0.397,0.214,60.000,18967.000,1.000
5.487,9.225,-0.764,7.253,5.728,9.426,6.182,9.367,-0.162,0.994,0.127,2.075,-0.305,0.214,60.000,18968.000,1.000
3.477,7.039,-3.062,4.358,3.987,8.136,4.604,8.005,-0.162,0.995,0.129,2.106,-0.275,0.153,60.000,18969.000,1.000
-0.072,3.321,-6.777,0.084,0.683,4.724,1.165,5.116,-0.162,0.997,0.133,2.136,-0.244,0.122,60.000,18970.000,1.000
-4.085,-0.475,-10.106,-3.217,-2.812,1.207,-2.337,2.619,-0.162,0.996,0.130,1.984,-0.092,0.153,60.000,18971.000,1.000
-7.477,-3.214,-11.983,-4.357,-5.203,-1.076,-4.391,1.577,-0.162,0.997,0.130,2.106,-0.122,0.153,60.000,18972.000,1.000
-9.417,-4.401,-12.341,-3.777,-5.849,-1.981,-4.483,1.768,-0.162,0.995,0.127,2.045,-0.122,0.092,60.000,18973.000,1.000
-9.466,-3.964,-11.351,-2.349,-4.881,-1.909,-3.023,2.610,-0.161,0.994,0.129,2.136,-0.031,0.183,60.000,18974.000,1.000
-7.836,-2.169,-9.045,-0.442,-3.020,-1.212,-0.956,3.860,-0.161,0.993,0.125,2.014,-0.092,0.183,60.000,18975.000,1.000
-5.417,0.352,-5.727,1.742,-1.131,-0.173,0.781,5.324,-0.161,0.993,0.125,2.106,-0.061,0.214,60.000,18976.000,1.000
-3.162,2.986,-2.138,3.675,0.505,1.058,1.940,6.549,-0.161,0.992,0.122,2.106,-0.031,0.275,60.000,18977.000,1.000
-1.313,5.655,1.173,5.012,2.553,2.751,3.277,7.340,-0.161,0.993,0.125,2.045,0.000,0.122,60.000,18978.000,1.000
0.423,8.430,4.097,6.137,5.675,5.270,5.692,8.088,-0.161,0.994,0.122,1.984,0.092,0.183,60.000,18979.000,1.000
1.971,10.520,6.273,7.540,9.080,8.097,8.793,9.006,-0.161,0.992,0.119,2.075,0.153,0.244,60.000,18980.000,1.000
2.695,10.388,6.730,8.808,10.744,9.725,10.897,9.376,-0.159,0.996,0.119,2.136,0.122,0.183,60.000,18981.000,1.000
2.239,7.284,4.731,8.798,9.343,8.956,10.693,8.054,-0.158,0.996,0.120,2.167,0.275,0.244,60.000,18982.000,1.000
1.189,2.311,0.813,6.880,5.522,6.075,8.417,4.667,-0.157,0.998,0.122,2.197,0.397,0.397,60.000,18983.000,1.000
0.715,-2.284,-3.274,3.815,1.122,2.588,5.264,0.116,-0.159,1.001,0.121,2.014,0.305,0.610,60.000,18984.000,1.000
1.756,-4.685,-5.621,1.352,-2.327,0.031,2.268,-3.994,-0.156,1.001,0.119,1.984,0.366,0.824,60.000,18985.000,1.000
4.661,-4.338,-5.259,0.933,-4.174,-0.875,-0.037,-6.443,-0.156,1.000,0.117,1.831,0.397,0.977,60.000,18986.000,1.000
9.244,-1.856,-2.634,2.602,-4.415,-0.386,-1.479,-7.225,-0.155,1.000,0.120,1.801,0.458,0.977,60.000,18987.000,1.000
14.858,1.359,0.708,5.098,-3.619,0.422,-2.345,-7.412,-0.156,0.999,0.122,1.587,0.610,1.068,60.000,18988.000,1.000
20.586,3.756,3.255,7.171,-2.787,0.304,-3.242,-7.941,-0.155,1.000,0.121,1.404,0.732,1.038,60.000,18989.000,1.000
25.603,4.498,4.612,8.695,-2.685,-1.079,-4.418,-8.577,-0.155,1.003,0.123,1.221,0.702,1.190,60.000,18990.000,1.000
29.401,3.760,5.348,10.219,-3.322,-2.950,-5.473,-8.437,-0.159,1.003,0.122,0.977,0.732,1.068,60.000,18991.000,1.000
31.820,2.182,5.879,11.729,-4.180,-4.385,-5.856,-7.333,-0.160,1.002,0.122,0.732,0.702,1.129,60.000,18992.000,1.000
33.025,0.452,6.015,12.568,-4.667,-4.949,-5.250,-5.907,-0.160,1.001,0.127,0.641,0.702,1.221,60.000,18993.000,1.000
33.277,-0.698,5.613,12.545,-4.301,-4.385,-3.521,-4.501,-0.159,1.002,0.127,0.580,0.580,1.343,60.000,18994.000,1.000
32.689,-0.680,5.117,12.439,-2.892,-2.392,-0.723,-2.633,-0.157,1.002,0.126,0.305,0.397,1.404,60.000,18995.000,1.000
31.330,0.438,5.097,13.037,-0.780,0.897,2.648,0.001,-0.158,1.004,0.125,0.000,0.458,1.434,60.000,18996.000,1.000
29.380,1.738,5.427,14.020,1.209,4.484,5.601,2.511,-0.159,1.002,0.128,-0.305,0.397,1.495,60.000,18997.000,1.000
26.961,2.057,5.280,14.245,2.264,7.050,7.305,3.519,-0.160,1.001,0.129,-0.336,0.336,1.678,60.000,18998.000,1.000
23.937,0.830,3.987,13.023,2.022,7.883,7.657,2.679,-0.158,1.000,0.130,-0.458,0.244,1.648,60.000,18999.000,1.000
19.844,-1.873,1.488,10.630,0.405,6.901,6.820,0.811,-0.158,1.000,0.132,-0.671,0.000,1.740,60.000,19000.000,1.000
14.014,-5.935,-2.084,7.532,-2.651,4.037,4.559,-1.388,-0.154,1.000,0.133,-0.793,0.000,1.862,60.000,19001.000,1.000
5.992,-11.369,-6.801,3.567,-7.048,-0.851,0.508,-4.250,-0.155,0.997,0.135,-1.007,-0.122,1.862,60.000,19002.000,1.000
-3.922,-17.906,-12.661,-1.819,-12.372,-7.489,-5.182,-8.602,-0.154,0.996,0.133,-1.160,-0.183,1.801,60.000,19003.000,1.000
-14.594,-24.730,-19.040,-8.587,-18.064,-14.952,-11.790,-14.560,-0.151,0.992,0.134,-1.129,-0.214,1.831,60.000,19004.000,1.000
-24.540,-30.661,-24.601,-15.578,-23.529,-21.986,-18.365,-20.942,-0.149,0.990,0.136,-1.160,-0.244,1.831,60.000,19005.000,1.000
-32.483,-34.546,-28.003,-21.222,-28.020,-27.508,-23.897,-26.009,-0.148,0.988,0.134,-1.099,-0.305,1.862,60.000,19006.000,1.000
-37.685,-35.671,-28.761,-24.711,-30.656,-30.903,-27.439,-28.760,-0.146,0.988,0.134,-1.038,-0.366,1.862,60.000,19007.000,1.000
-40.112,-34.028,-27.357,-26.223,-30.775,-32.000,-28.426,-29.336,-0.147,0.987,0.136,-0.732,-0.275,1.923,60.000,19008.000,1.000
-40.375,-30.329,-24.666,-26.149,-28.470,-30.924,-27.022,-28.369,-0.145,0.989,0.138,-0.732,-0.366,1.984,60.000,19009.000,1.000
-39.515,-25.802,-21.511,-24.683,-24.795,-28.112,-24.185,-26.424,-0.146,0.989,0.139,-0.641,-0.427,2.045,60.000,19010.000,1.000
-38.737,-21.841,-18.701,-22.371,-21.374,-24.488,-21.361,-24.233,-0.146,0.991,0.144,-0.488,-0.458,2.045,60.000,19011.000,1.000
-38.882,-19.522,-17.086,-20.486,-19.535,-21.341,-19.892,-22.917,-0.146,0.994,0.144,-0.519,-0.397,1.953,60.000,19012.000,1.000
