EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
20.043,17.507,14.030,9.160,9.366,8.508,1.216,4.604,-0.083,1.000,-0.053,0.763,3.052,-0.275,80.000,7666.000,1.000
20.941,16.636,13.986,9.763,10.118,8.963,1.197,4.582,-0.083,0.999,-0.054,0.732,3.052,-0.397,80.000,7667.000,1.000
21.157,15.834,13.635,10.293,10.197,9.553,1.385,5.074,-0.085,1.000,-0.052,0.793,3.082,-0.427,80.000,7668.000,1.000
20.536,15.798,12.873,10.822,9.209,9.957,1.648,6.080,-0.086,0.999,-0.054,0.763,3.113,-0.458,80.000,7669.000,1.000
19.439,15.773,12.080,11.034,7.766,9.824,1.727,6.661,-0.086,0.999,-0.051,0.671,3.113,-0.366,80.000,7670.000,1.000
18.630,14.973,11.913,10.782,6.948,9.329,1.739,6.189,-0.087,1.000,-0.051,0.763,3.143,-0.488,80.000,7671.000,1.000
18.359,13.635,12.240,10.205,6.775,8.598,1.734,4.967,-0.085,1.000,-0.048,0.763,3.174,-0.519,80.000,7672.000,1.000
17.832,12.300,11.806,9.304,5.883,7.015,1.106,3.519,-0.084,0.999,-0.050,0.793,3.143,-0.549,80.000,7673.000,1.000
16.056,10.708,9.523,7.832,3.209,3.838,-0.935,1.815,-0.084,1.001,-0.050,0.702,3.235,-0.458,80.000,7674.000,1.000
13.205,8.222,5.976,5.825,-0.348,-0.460,-4.139,-0.319,-0.086,1.002,-0.049,0.671,3.204,-0.458,80.000,7675.000,1.000
10.766,5.251,3.156,4.020,-2.534,-3.992,-6.844,-2.225,-0.086,1.001,-0.052,0.763,3.296,-0.488,80.000,7676.000,1.000
10.095,3.493,2.554,3.404,-2.025,-4.941,-7.235,-2.528,-0.087,0.999,-0.053,0.824,3.296,-0.519,80.000,7677.000,1.000
10.992,4.183,3.731,4.167,0.270,-3.287,-5.146,-0.657,-0.088,1.000,-0.050,0.854,3.326,-0.488,80.000,7678.000,1.000
12.017,6.444,4.999,5.336,2.371,-0.818,-2.306,2.129,-0.089,1.000,-0.049,0.885,3.387,-0.397,80.000,7679.000,1.000
12.131,8.040,5.310,5.705,3.294,0.633,-0.641,3.794,-0.087,0.999,-0.049,0.824,3.387,-0.458,80.000,7680.000,1.000
11.598,7.727,5.040,5.040,3.498,0.671,-0.596,3.518,-0.087,0.999,-0.051,0.854,3.357,-0.488,80.000,7681.000,1.000
11.199,6.301,4.922,4.122,3.486,0.004,-1.319,2.260,-0.086,0.998,-0.051,0.916,3.357,-0.549,80.000,7682.000,1.000
