EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.716,8.037,2.242,2.597,5.561,5.227,2.126,2.841,-0.039,1.003,-0.077,0.702,3.235,-0.458,80.000,8193.000,1.000
-0.664,7.966,1.577,3.200,5.738,6.116,2.929,3.412,-0.041,1.000,-0.077,0.702,3.235,-0.519,80.000,8194.000,1.000
-1.075,6.765,0.715,2.938,5.877,6.378,3.024,2.795,-0.040,1.000,-0.079,0.702,3.510,-0.580,80.000,8195.000,1.000
-1.462,4.881,0.353,2.045,6.577,6.426,2.986,1.221,-0.041,0.999,-0.080,0.854,3.448,-0.488,80.000,8196.000,1.000
-1.405,3.769,0.666,1.341,7.695,6.732,3.769,0.108,-0.039,0.997,-0.079,0.854,3.479,-0.519,80.000,8197.000,1.000
-0.931,4.012,1.142,1.269,8.454,7.065,5.468,0.343,-0.039,0.996,-0.077,0.885,3.571,-0.580,80.000,8198.000,1.000
-0.263,4.498,1.223,1.471,8.391,6.797,7.249,1.405,-0.043,0.995,-0.078,0.977,3.540,-0.336,80.000,8199.000,1.000
0.538,3.825,0.912,1.361,7.889,5.877,8.482,2.328,-0.043,0.993,-0.073,1.160,3.479,-0.366,80.000,8200.000,1.000
1.469,2.085,0.565,0.878,7.582,5.083,9.464,3.010,-0.047,0.995,-0.076,1.251,3.510,-0.488,80.000,8201.000,1.000
2.286,0.720,0.296,0.495,7.559,5.191,10.875,4.159,-0.047,0.996,-0.078,1.343,3.357,-0.519,80.000,8202.000,1.000
2.526,0.680,-0.147,0.562,7.418,6.144,12.847,6.097,-0.048,0.997,-0.077,1.404,3.418,-0.610,80.000,8203.000,1.000
1.965,1.325,-0.885,0.894,7.018,7.194,14.857,8.147,-0.052,0.999,-0.076,1.434,3.326,-0.671,80.000,8204.000,1.000
0.919,1.415,-1.591,1.087,6.715,7.708,16.356,9.437,-0.050,1.000,-0.077,1.465,3.113,-0.793,80.000,8205.000,1.000
-0.050,0.727,-1.888,1.025,6.690,7.532,17.124,9.911,-0.052,1.003,-0.076,1.434,2.930,-0.946,80.000,8206.000,1.000
-0.622,0.232,-1.857,0.910,6.449,6.706,17.091,10.216,-0.052,1.005,-0.075,1.556,2.869,-1.038,80.000,8207.000,1.000
-0.766,0.772,-1.828,0.889,5.465,5.300,16.176,10.715,-0.051,1.007,-0.075,1.587,2.808,-0.977,80.000,8208.000,1.000
-0.430,2.003,-1.788,0.809,4.047,3.623,14.445,10.981,-0.051,1.009,-0.076,1.495,2.716,-0.885,80.000,8209.000,1.000
0.545,2.916,-1.299,0.443,3.124,2.327,12.294,10.387,-0.050,1.011,-0.074,1.434,2.655,-0.854,80.000,8210.000,1.000
2.163,3.184,-0.094,-0.100,3.135,2.016,10.260,8.973,-0.049,1.011,-0.074,1.312,2.502,-0.763,80.000,8211.000,1.000
3.981,3.465,1.461,-0.413,3.472,2.672,8.499,7.378,-0.050,1.011,-0.071,1.251,2.380,-0.763,80.000,8212.000,1.000
5.294,4.322,2.695,-0.293,3.205,3.638,6.588,5.918,-0.048,1.011,-0.072,1.099,2.258,-0.610,80.000,8213.000,1.000
5.793,5.330,3.329,-0.005,2.161,4.244,3.980,4.124,-0.046,1.012,-0.074,1.007,2.197,-0.458,80.000,8214.000,1.000
5.801,5.577,3.564,0.008,0.904,4.282,0.549,1.381,-0.044,1.011,-0.076,0.916,2.228,-0.366,80.000,8215.000,1.000
5.715,4.841,3.489,-0.469,-0.239,3.905,-3.351,-2.202,-0.046,1.011,-0.078,0.793,2.289,-0.153,80.000,8216.000,1.000
5.479,3.854,2.730,-1.335,-1.631,3.296,-7.216,-5.783,-0.046,1.010,-0.077,0.824,2.350,-0.061,80.000,8217.000,1.000
4.782,3.206,0.877,-2.447,-3.689,2.492,-10.717,-8.621,-0.045,1.010,-0.075,0.641,2.350,0.092,80.000,8218.000,1.000
3.647,2.485,-1.785,-3.775,-6.005,1.579,-13.567,-10.620,-0.042,1.009,-0.074,0.580,2.319,0.214,80.000,8219.000,1.000
2.646,1.044,-4.111,-5.112,-7.392,1.019,-15.144,-11.866,-0.040,1.008,-0.075,0.519,2.350,0.366,80.000,8220.000,1.000
2.380,-0.746,-4.915,-5.846,-6.981,1.390,-14.722,-11.990,-0.042,1.005,-0.075,0.641,2.319,0.458,80.000,8221.000,1.000
2.846,-1.671,-3.965,-5.339,-5.130,2.628,-12.263,-10.425,-0.042,1.003,-0.075,0.580,2.411,0.458,80.000,8222.000,1.000
3.474,-1.188,-2.093,-3.655,-3.037,3.824,-8.729,-7.314,-0.043,1.001,-0.073,0.549,2.502,0.580,80.000,8223.000,1.000
3.706,-0.286,-0.411,-1.789,-1.590,3.976,-5.479,-3.869,-0.042,0.999,-0.074,0.549,2.502,0.580,80.000,8224.000,1.000
3.443,-0.374,0.488,-0.914,-0.789,2.921,-3.270,-1.449,-0.044,0.999,-0.073,0.519,2.472,0.519,80.000,8225.000,1.000
2.984,-1.530,0.643,-1.339,-0.204,1.500,-1.806,-0.281,-0.044,0.998,-0.074,0.610,2.350,0.458,80.000,8226.000,1.000
2.577,-2.466,0.200,-2.397,0.265,0.745,-0.313,0.517,-0.044,0.996,-0.073,0.671,2.350,0.458,80.000,8227.000,1.000
2.172,-2.234,-0.863,-3.261,0.371,0.962,1.507,1.667,-0.044,0.994,-0.076,0.732,2.380,0.305,80.000,8228.000,1.000
1.675,-1.362,-2.335,-3.583,0.135,1.689,3.263,2.926,-0.043,0.994,-0.074,0.885,2.380,0.275,80.000,8229.000,1.000
1.277,-0.955,-3.410,-3.312,0.137,2.426,4.552,3.746,-0.043,0.994,-0.075,0.946,2.411,0.214,80.000,8230.000,1.000
1.409,-1.032,-3.056,-2.201,0.995,3.160,5.584,4.375,-0.043,0.992,-0.072,1.068,2.289,0.153,80.000,8231.000,1.000
2.370,-0.389,-0.838,0.117,2.696,4.048,6.901,5.759,-0.041,0.991,-0.076,1.282,2.411,0.000,80.000,8232.000,1.000
4.114,1.859,2.777,3.540,4.732,4.967,8.677,8.325,-0.041,0.993,-0.075,1.465,2.441,-0.031,80.000,8233.000,1.000
6.422,5.113,6.885,7.166,6.767,5.603,10.468,11.187,-0.041,0.993,-0.073,1.648,2.472,-0.061,80.000,8234.000,1.000
9.047,7.921,10.623,9.735,8.700,5.730,11.497,12.758,-0.039,0.994,-0.074,1.770,2.533,-0.122,80.000,8235.000,1.000
11.633,9.570,13.276,10.561,10.183,5.403,11.227,12.185,-0.039,0.993,-0.076,1.862,2.533,-0.183,80.000,8236.000,1.000
13.659,10.664,14.376,10.005,10.552,4.998,9.759,10.020,-0.039,0.996,-0.076,2.045,2.563,-0.275,80.000,8237.000,1.000
14.648,11.979,13.931,8.907,9.425,4.903,7.596,7.393,-0.040,1.000,-0.075,2.045,2.747,-0.366,80.000,8238.000,1.000
14.498,13.315,12.567,7.756,7.328,5.302,5.277,4.927,-0.041,1.000,-0.075,2.075,2.777,-0.397,80.000,8239.000,1.000
13.572,13.969,11.298,6.705,5.617,6.450,3.480,2.824,-0.041,1.002,-0.076,2.136,2.869,-0.427,80.000,8240.000,1.000
12.365,13.943,10.850,6.042,5.418,8.708,3.002,1.573,-0.044,1.005,-0.078,2.014,2.960,-0.305,80.000,8241.000,1.000
10.973,13.865,10.949,6.051,6.481,11.858,4.021,1.707,-0.042,1.008,-0.077,2.106,2.930,-0.366,80.000,8242.000,1.000
9.001,13.675,10.451,6.350,7.289,14.601,5.420,2.760,-0.041,1.008,-0.072,2.014,2.960,-0.458,80.000,8243.000,1.000
6.098,12.131,8.417,5.864,6.447,15.246,5.368,3.159,-0.043,1.010,-0.074,1.862,2.899,-0.427,80.000,8244.000,1.000
2.487,8.155,4.988,3.732,3.757,13.016,2.792,1.548,-0.045,1.012,-0.075,1.709,3.021,-0.458,80.000,8245.000,1.000
-1.081,2.448,1.117,0.137,-0.092,8.572,-1.849,-1.968,-0.045,1.013,-0.074,1.678,2.869,-0.519,80.000,8246.000,1.000
-3.846,-2.804,-2.404,-3.901,-4.480,3.304,-7.222,-6.131,-0.046,1.011,-0.077,1.556,2.930,-0.519,80.000,8247.000,1.000
-5.596,-6.077,-5.494,-7.545,-9.140,-1.790,-12.286,-9.985,-0.046,1.011,-0.077,1.343,2.869,-0.488,80.000,8248.000,1.000
-6.668,-7.865,-8.379,-10.740,-13.645,-6.427,-16.622,-13.622,-0.046,1.011,-0.076,1.221,2.930,-0.488,80.000,8249.000,1.000
