EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4.400,-2.244,-0.784,1.113,-6.318,-7.537,-7.820,-5.704,-0.071,0.998,-0.034,0.275,2.289,-0.244,80.000,8225.000,1.000
7.204,-0.714,0.950,1.309,-7.006,-9.629,-10.721,-9.043,-0.072,0.996,-0.033,0.244,2.380,-0.305,80.000,8226.000,1.000
8.854,0.483,1.269,0.838,-8.818,-11.838,-13.864,-12.256,-0.071,0.996,-0.037,0.366,2.380,-0.275,80.000,8227.000,1.000
9.286,0.405,0.458,-0.369,-10.638,-13.550,-16.477,-15.093,-0.073,0.994,-0.033,0.519,2.319,-0.244,80.000,8228.000,1.000
8.788,-1.067,-0.959,-2.116,-11.601,-14.241,-17.774,-17.143,-0.073,0.993,-0.034,0.580,2.319,-0.366,80.000,8229.000,1.000
7.774,-2.788,-2.660,-3.734,-11.761,-13.847,-17.383,-17.764,-0.073,0.990,-0.036,0.671,2.289,-0.488,80.000,8230.000,1.000
6.647,-3.578,-4.429,-4.490,-11.594,-12.838,-15.597,-16.663,-0.074,0.990,-0.041,0.824,2.289,-0.610,80.000,8231.000,1.000
5.676,-3.543,-5.881,-4.252,-11.166,-11.807,-13.155,-14.426,-0.073,0.991,-0.040,1.007,2.289,-0.641,80.000,8232.000,1.000
4.948,-3.658,-6.503,-3.497,-10.060,-10.868,-10.580,-12.063,-0.071,0.992,-0.037,1.129,2.228,-0.732,80.000,8233.000,1.000
4.353,-4.296,-6.157,-2.756,-8.164,-9.584,-7.857,-10.041,-0.071,0.993,-0.035,1.221,2.136,-0.763,80.000,8234.000,1.000
3.596,-4.835,-5.528,-2.321,-6.334,-7.684,-4.997,-8.170,-0.071,0.995,-0.036,1.373,2.258,-0.885,80.000,8235.000,1.000
2.360,-4.797,-5.724,-2.468,-5.871,-5.632,-2.638,-6.440,-0.070,0.997,-0.033,1.404,2.319,-0.854,80.000,8236.000,1.000
